ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Qty Available
34116763618;1;1;1
34116767061;2;2;2
34116767143;1;1;1
34116767191;1;1;1
34116767389;1;1;1
34116769763;1;1;1
34116769951;1;2;2
34116769951;1;2;2
34116772117;10;20;20
34116772117;10;20;20
34116774050;1;1;1
34116774984;2;2;2
34116778234;27;27;27
34116779652;3;3;3
34116781873;2;2;2
34116784185;4;4;4
34116785670;1;1;1
34116785676;1;1;1
34116789157;2;2;2
34116789543;1;1;1
34116792215;4;4;4
34116850568;1;1;1
34116852253;1;1;1
34116864905;2;2;2
34116866293;1;1;1
34116871799;2;2;2
34116871800;2;2;2
34116877348;3;3;3
34116877653;1;1;1
34116878876;1;1;1
34116890553;4;5;5
34116890553;1;5;5
34116898729;10;10;10
34117711498;1;1;1
34118354919;2;2;2
34118569410;2;2;2
34118847063;3;4;4
34118847063;1;4;4
34119804735;1;1;1
34201543683;7;7;7
34206790362;2;2;2
34206888825;1;2;2
34206888825;1;2;2
34206888831;3;3;3
34206894381;10;10;10
34208844393;4;5;5
34208844393;1;5;5
34208853554;4;4;4
34211158266;1;1;1
34211165233;1;1;1
34211166127;3;3;3
34211166129;2;2;2
34212157576;1;2;2
34212157576;1;2;2
34212157620;1;2;2
34212157620;1;2;2
34212166621;1;1;1
34212284685;1;1;1
34212284812;1;1;1
34212288890;1;1;1
34212288892;1;1;1
34212288895;3;3;3
34212289154;1;1;1
34212289155;2;2;2
34212311080;1;1;1
34212311081;1;1;1
34212357231;1;1;1
34212444446;1;1;1
34212449286;1;1;1
34216757250;18;18;18
34216760853;1;1;1
34216761239;2;2;2
34216761250;5;5;5
34216763305;1;1;1
34216763827;2;2;2
34216774987;2;2;2
34216776937;5;5;5
34216778168;1;1;1
34216779294;1;1;1
34216783555;1;2;2
34216783555;1;2;2
34216790071;3;9;9
34216790071;6;9;9
34216790762;1;1;1
34216791017;1;1;1
34216864045;1;2;2
34216864045;1;2;2
34216864901;1;1;1
34216865315;2;2;2
34216867175;5;5;5
34216882245;2;2;2
34216885451;2;2;2
34216890353;4;4;4
34217664983;1;1;1
34218009753;1;1;1
34218569415;3;3;3
34219067127;1;1;1
34327720825;1;1;1
34336759932;1;1;1
34336772697;3;3;3
34336871185;1;1;1
34336875605;3;3;3
34337598792;1;1;1
34356761448;2;2;2
34356789439;6;6;6
34356789446;1;1;1
34356791959;1;1;1
34356877085;1;2;2
34356877085;1;2;2
34402240182;3;3;3
34406774814;1;1;1
34512467255;2;2;2
34516888994;1;1;1
34516891957;1;1;1
34521182159;1;1;1
34526850979;1;1;1
34526866915;1;1;1
34526874632;1;1;1
35002232278;3;3;3
35211113906;1;1;1
35311165842;4;4;4
35406889814;1;1;1
36106884746;1;1;1
36106896789;1;1;1
36116868217;1;1;1
36118378753;1;1;1
36136768639;1;1;1
36136769756;1;1;1
36136775937;1;1;1
36136776349;1;1;1
36146792828;1;4;4
36146792828;3;4;4
36146792831;4;4;4
36236771042;1;1;1
37121090307;2;2;2
37121094613;1;1;1
37146794941;1;1;1
37146876452;3;3;3
37206785999;1;1;1
37206874510;1;1;1
41007267459;1;1;1
41007284392;1;1;1
41007284398;1;1;1
41007437505;1;1;1
41007437506;1;1;1
41007438652;1;1;1
41007488125;1;1;1
41009805633;2;2;2
41107204047;1;1;1
41107204059;1;1;1
41117044687;4;4;4
41117115419;1;1;1
41117121527;1;1;1
41117121529;1;1;1
41117382230;1;1;1
41117402665;1;1;1
41117402666;1;1;1
41118119787;1;1;1
41127076084;1;1;1
41128244333;50;50;50
41138230551;1;1;1
41147035345;1;1;1
41148122554;1;1;1
41217160531;2;2;2
41217203420;1;1;1
41217407921;1;2;2
41217407921;1;2;2
41218228243;1;1;1
41218253749;1;1;1
41517127180;1;1;1
41613452843;1;1;1
41613452844;1;1;1
41617068279;1;1;1
41617068280;1;1;1
41617207199;1;1;1
41617210674;1;1;1
41618203276;1;1;1
41627001559;1;1;1
41627181087;2;2;2
46637705268;1;1;1
46638549525;1;1;1
46638549526;1;1;1
46638557437;1;1;1
46638569682;1;1;1
46639445051;1;1;1
46639480688;1;1;1
46711342667;1;1;1
46717669764;1;1;1
46717671078;1;1;1
46717691211;1;1;1
46717691212;1;1;1
51007404717;1;1;1
51110021334;1;1;1
51110035367;1;1;1
51110432249;1;1;1
51112311963;1;1;1
51112410004;2;2;2
51112410275;1;1;1
51112694947;1;1;1
51112751285;1;1;1
51112751286;1;1;1
51112754001;2;2;2
51112754006;2;2;2
51112993305;2;2;2
51113400908;1;1;1
51114826328;1;1;1
51115A06871;1;1;1
51115A08FE9;1;1;1
51115A08FF9;1;1;1
51115A3C885;1;1;1
51115A4F539;1;1;1
51115A589F9;2;2;2
51116800138;1;1;1
51117005958;2;2;2
51117005969;1;1;1
51117010209;1;1;1
51117016513;1;1;1
51117056945;9;9;9
51117058449;2;2;2
51117111743;2;2;2
51117116810;2;2;2
51117142172;1;1;1
51117142198;1;1;1
51117154553;1;1;1
51117166605;3;3;3
51117178100;1;1;1
51117178110;1;1;1
51117178993;1;1;1
51117203790;1;1;1
51117222729;1;1;1
51117255367;1;1;1
51117256098;3;3;3
51117296376;1;1;1
51117301547;1;1;1
51117301567;1;1;1
51117302507;1;1;1
51117303107;1;1;1
51117307991;1;1;1
51117331676;1;1;1
51117342412;1;1;1
51117360738;1;1;1
51117362693;1;1;1
51117362694;1;1;1
51117371668;1;1;1
51117376383;1;1;1
51117379440;1;1;1
51117383353;1;1;1
51117383364;1;1;1
51117399967;1;1;1
51117406389;1;1;1
51117415559;1;1;1
51117415587;1;1;1
51117415588;1;1;1
51117419887;1;1;1
51117429010;1;1;1
51117432617;1;1;1
51117432619;1;1;1
51117452299;1;1;1
51117456485;1;1;1
51117460146;1;2;2
51117460146;1;2;2
51117460158;1;1;1
51117891396;1;1;1
51117898152;1;1;1
51117900764;1;1;1
51117907077;1;1;1
51118038046;1;1;1
51118048494;1;1;1
51118050506;1;1;1
51118050739;1;1;1
51118055270;1;1;1
51118065719;1;1;1
51118069130;2;2;2
51118070321;1;1;1
51118070322;1;1;1
51118071152;1;1;1
51118072693;1;1;1
51118073861;1;3;3
51118073861;2;3;3
51118090129;1;1;1
51118125310;1;1;1
51118125438;1;1;1
51118159360;1;1;1
51118232771;1;1;1
51118233341;1;1;1
51118235670;4;4;4
51118235672;1;1;1
51118402311;1;1;1
51118403076;1;2;2
51118403076;1;2;2
51119451143;1;1;1
51119477043;1;1;1
51119812737;1;1;1
51120412589;1;1;1
51120412591;1;1;1
51120432250;1;1;1
51122181358;1;2;2
51122181358;1;2;2
51122285770;1;1;1
51122350423;1;1;1
51122452063;6;6;6
51125A1D085;1;1;1
51125A3C9C0;1;1;1
51125A5F093;1;1;1
51125A7A764;1;1;1
51127002758;1;1;1
51127005903;1;5;5
51127005903;4;5;5
51127005914;1;1;1
51127005947;1;1;1
51127008840;1;1;1
51127032002;1;1;1
51127033713;1;1;1
51127043365;1;1;1
51127045526;1;1;1
51127055337;1;1;1
51127136091;1;1;1
51127142217;1;1;1
51127142218;1;1;1
51127147890;1;1;1
51127155447;1;1;1
51127163198;1;1;1
51127176248;1;1;1
51127186089;1;1;1
51127213858;1;1;1
51127260582;1;1;1
51127263517;1;1;1
51127285515;1;1;1
51127294827;1;1;1
51127331599;1;1;1
51127332323;1;1;1
51127365075;1;1;1
51127365092;1;1;1
51127365155;2;3;3
51127365155;1;3;3
51127365156;1;1;1
51127391023;1;1;1
51127400300;5;5;5
51127403267;1;1;1
51127403394;2;2;2
51127403797;1;2;2
51127403797;1;2;2
51127473076;1;1;1
51127482230;1;1;1
51127493626;2;2;2
51127494915;1;1;1
51127498371;1;1;1
51128038993;1;1;1
51128039898;1;1;1
51128041191;1;1;1
51128049236;1;1;1
51128049241;2;2;2
51128050516;1;1;1
51128054198;2;3;3
51128054198;1;3;3
51128056190;1;1;1
51128071154;1;1;1
51128074190;1;1;1
51128090079;1;1;1
51128159376;1;1;1
51128183740;1;1;1
51128184507;1;1;1
51128238819;1;1;1
51128248031;2;2;2
51128248032;1;1;1
51128252815;1;1;1
51128254202;10;10;10
51128498992;1;1;1
51129810627;1;1;1
51130031457;1;1;1
51130033297;1;1;1
51130417137;2;2;2
51131505865;1;1;1
51131977273;1;1;1
51132254023;1;1;1
51132254028;1;1;1
51132256787;1;1;1
51132264514;1;1;1
51132266094;1;1;1
51132296300;1;1;1
51132296301;1;1;1
51132310745;1;1;1
51132365733;1;1;1
51132365734;1;1;1
51132365736;1;1;1
51132365737;1;1;1
51132365738;1;1;1
51132410448;1;1;1
51132410450;1;1;1
51132410452;2;2;2
51132410454;1;1;1
51132410455;1;1;1
51132413356;2;2;2
51132466563;1;1;1
51132990990;1;1;1
51134823385;1;1;1
51134823386;1;2;2
51134823386;1;2;2
