ID_Product,Quantity,Quantity_Fourniss_After_Cumule,Quantity Available
10-1155,1,1,1
10-0957,56,56,56
10-1440,1,1,1
10-4035,1,1,1
10-2272,1,1,1
10-3588,33,33,33
10-5437,2,2,2
10-4592,1,1,1
10-6016,8,8,8
10-6043,2,2,2
10-3990,2,2,2
10-0603,5,5,5
10-2097U,1,1,1
10-5646,1,1,1
10-6039,1,1,1
10-5856,1,1,1
10-1725,2,2,2
10-3586,25,25,25
10-4182,1,1,1
10-0260,16,16,16
10-1596,2,2,2
10-0071,3,3,3
10-1598,1,1,1
10-6350,2,2,2
10-0560,1,1,1
10-5859,1,1,1
10-0115,10,10,10
10-4907,1,1,1
10-6074,1,1,1
10-5744,1,1,1
10-6170,2,2,2
10-4144,2,2,2
10-0063,12,12,12
10-3447,1,1,1
10-3976,2,2,2
10-0318,71,71,71
10-0016,2,2,2
10-0911,32,32,32
10-0650,31,31,31
10-5734,1,1,1
10-1107,10,10,10
10-2569,2,2,2
10-2953,2,2,2
10-5246,1,1,1
10-2214,17,17,17
10-5806,1,1,1
10-4726,1,1,1
10-1257,3,3,3
10-3289,14,14,14
10-6264,1,1,1
10-0965,18,18,18
10-0203,56,56,56
10-3882,1,1,1
10-3373,1,1,1
10-0520,27,27,27
10-0593,31,31,31
10-4474,2,2,2
10-1012,21,21,21
10-0062,4,4,4
10-1034,23,23,23
10-3315,3,3,3
10-1122,76,76,76
10-1819,15,15,15
10-1590,1,1,1
10-2234U,1,1,1
10-0659,14,14,14
10-0503,5,5,5
10-4680,7,7,7
10-0963,31,31,31
10-1001,4,4,4
10-0629,7,7,7
10-1126,3,3,3
10-0147,1,1,1
10-4588,4,4,4
10-3291,2,2,2
10-0135,2,2,2
10-1367,1,1,1
10-0956,5,5,5
10-3310,8,8,8
10-0695,1,1,1
10-1579,47,47,47
10-0143,40,40,40
10-1910,3,3,3
10-4263,30,30,30
10-3870,26,26,26
10-2169,1,1,1
10-0043,1,1,1
10-2005,1,1,1
10-1744,1,1,1
10-1037,1,1,1
10-1180X,1,1,1
10-1199,11,11,11
10-0633,2,2,2
10-4078,3,3,3
10-1103,69,69,69
10-1025,2,2,2
10-0776,2,2,2
10-0534,20,20,20
10-5502,1,1,1
10-6147,4,4,4
10-0708,52,52,52
10-5513,8,8,8
10-0564,12,12,12
10-0794,1,1,1
10-3252,20,20,20
10-3318,4,4,4
10-0839,3,3,3
10-2568,31,31,31
10-3364,1,1,1
10-3898U,1,1,1
10-1436,7,7,7
10-4660,1,1,1
10-1240,23,23,23
10-0536,5,5,5
10-1160,7,7,7
10-0265,7,7,7
