ID_Product,Quantity,Quantity_Fourniss_After_Cumule
10371,9,9
10372,1,1
10375,17,17
10376,7,7
10377,50,50
10378,16,16
10395,4,4
10396,0,0
10397,1,1
10401,1,1
10403,0,0
104040,53,53
10407,3,3
1041H,17,17
1042001,5,5
1042590,17,17
1042591,10,10
1042592,20,20
1042593,27,27
10451,1,1
10452,0,0
10453,0,0
10454,0,0
1047000,27,27
1047001,19,19
1047002,35,35
10472,405,405
104735,1,1
10474,78,78
104740,2,2
10476,178,178
104760,1,1
10477,10,10
10478,5,5
10479,6,6
10480,6,6
10481,0,0
10482,2,2
10495,1,1
10496,47,47
10498,3,3
10554,236,236
10575,2,2
10576,2,2
10579,1,1
10580,1,1
105800,2,2
105801,12,12
105802,2,2
105803,5,5
105804,4,4
105805,3,3
106190,63,63
106191,7,7
10630,45,45
1063C,1,1
106420,3,3
10661,2,2
1068,1,1
106800,58,58
106801,17,17
106802,50,50
106803,1,1
10701,10,10
10775,0,0
10776,0,0
10777,2,2
10778,0,0
10799,7,7
10812,679,679
10813,456,456
1085C,6,6
10868,37,37
10877,173,173
10901,2,2
10926,206,206
1093G,2,2
109573,0,0
10972,4,4
1099101,2,2
1101131,2,2
1101381,0,0
1101391,6,6
1101401,4,4
1101411,17,17
1101441,4,4
1101451,1,1
1102302,0,0
1102312,1,1
1102801,2,2
1107D025FR,14,14
1108D1FR,12,12
1110T,4,4
1112,2,2
1112051,4,4
1112061,0,0
1112091,5,5
1112111,4,4
1112311,3,3
111246,4,4
1112481,2,2
111269,7,7
111271,1,1
1112731,1,1
111282,1,1
111283,1,1
111289,1,1
111290,1,1
111321,3,3
111690,5,5
111700,2,2
11172,2,2
11173,1,1
111730,0,0
11175,0,0
11176,1,1
11178,1,1
11275,0,0
11276,0,0
113040,4,4
113100,1,1
113840,3,3
113850,4,4
114130,5,5
114200,2,2
114240,6,6
114250,3,3
114280,8,8
120018,2,2
12010,1,1
12011,1,1
120575,1,1
121001,1,1
121051,1,1
121052,1,1
121099,0,0
121775,3,3
121776,0,0
1217G,2,2
1226,1,1
123076,1,1
123690,1,1
1236G,0,0
124140,59,59
124160,2,2
124430,6,6
125004,2,2
125025,63,63
125073,1,1
125074,1,1
125075,0,0
125076,1,1
125079,1,1
125080,1,1
1252590,5,5
1253C,1,1
126040,16,16
126075,1,1
