ID_Product,Quantity,Quantity_Fourniss_After_Cumule,AVAILABLE
02SKV244,100,100,100
02SKV743,0,0,0
06SKV091,100,100,100
06SKV109,100,100,100
06SKV118,100,100,100
06SKV116,100,100,100
06SKV117,100,100,100
06SKV115,0,0,0
06SKV103,0,0,0
06SKV104,100,100,100
06SKV084,100,100,100
06SKV085,100,100,100
06SKV087,0,0,0
06SKV083,100,100,100
06SKV088,100,100,100
06SKV101,100,100,100
06SKV100,100,100,100
06SKV089,100,100,100
06SKV082,100,100,100
06SKV096,100,100,100
06SKV092,100,100,100
06SKV098,100,100,100
06SKV099,100,100,100
06SKV024,100,100,100
06SKV017,100,100,100
06SKV026,100,100,100
06SKV038,100,100,100
06SKV040,100,100,100
06SKV041,100,100,100
06SKV108,100,100,100
06SKV004,100,100,100
06SKV107,100,100,100
06SKV055,100,100,100
10SKV180,100,100,100
02SKV730,100,100,100
14SKV005,100,100,100
14SKV001,100,100,100
11SKV045,0,0,0
17SKV003,0,0,0
95SKV950,0,0,0
06SKV070,100,100,100
06SKV073,100,100,100
06SKV066,100,100,100
06SKV062,100,100,100
06SKV128,100,100,100
06SKV079,100,100,100
06SKV081,100,100,100
06SKV113,100,100,100
06SKV114,100,100,100
06SKV076,100,100,100
06SKV125,100,100,100
06SKV072,100,100,100
06SKV071,100,100,100
06SKV110,100,100,100
06SKV127,100,100,100
06SKV061,100,100,100
06SKV053,100,100,100
06SKV078,100,100,100
06SKV080,100,100,100
06SKV063,100,100,100
06SKV112,100,100,100
06SKV065,100,100,100
06SKV077,100,100,100
06SKV111,100,100,100
06SKV126,100,100,100
06SKV059,100,100,100
06SKV014,100,100,100
08SKV212,0,0,0
09SKV053,100,100,100
03SKV129,100,100,100
03SKV110,100,100,100
03SKV124,100,100,100
03SKV134,100,100,100
03SKV043,100,100,100
03SKV135,100,100,100
03SKV151,100,100,100
03SKV139,100,100,100
03SKV136,100,100,100
03SKV087,100,100,100
03SKV064,100,100,100
03SKV098,0,0,0
03SKV104,100,100,100
03SKV132,100,100,100
03SKV073,100,100,100
03SKV052,100,100,100
03SKV105,100,100,100
03SKV041,100,100,100
03SKV034,100,100,100
03SKV017,100,100,100
03SKV053,100,100,100
03SKV042,100,100,100
03SKV091,100,100,100
03SKV120,100,100,100
03SKV122,100,100,100
03SKV026,100,100,100
03SKV113,100,100,100
03SKV102,0,0,0
03SKV009,100,100,100
14SKV015,100,100,100
17SKV232,100,100,100
06SKV003,100,100,100
06SKV057,100,100,100
06SKV119,100,100,100
06SKV131,100,100,100
06SKV133,100,100,100
06SKV132,100,100,100
17SKV204,0,0,0
17SKV205,0,0,0
17SKV206,100,100,100
17SKV207,100,100,100
17SKV213,0,0,0
17SKV214,0,0,0
