ID_Product,Quantity,Quantity_Fourniss_After_Cumule,on_depot
A0926S,0,0,0
A0927S,10,10,10
A0928S,0,0,0
A0929S,7,7,7
A0930S,5,5,5
A0931S,2,2,2
A0932SEG,5,5,5
A0932S,4,4,4
A0933S,10,10,10
A0934BOSCH,10,10,10
A0935S,4,4,4
A0936S,7,7,7
A0937SEG,10,10,10
A0937S,10,10,10
A0938SEG,9,9,9
A0939S,10,10,10
A0940S,3,3,3
A0941S,4,4,4
A0942S,1,1,1
A0943S,3,3,3
A0944S,9,9,9
A0945S,1,1,1
A0946SEG,10,10,10
A0947S,9,9,9
A0948S,0,0,0
A0949S,3,3,3
A0950S,8,8,8
A0951SEG,10,10,10
A0952SEG,10,10,10
A0953SEG,10,10,10
A0954SEG,10,10,10
A0955S,0,0,0
A0956S,5,5,5
A0957SEG,10,10,10
A0957S,0,0,0
A0958SEG,10,10,10
A0959SEG,10,10,10
A0960SEG,10,10,10
A0960S,5,5,5
A0961SEG,9,9,9
A0962SEG,8,8,8
A0963SEG,10,10,10
A0964SEG,10,10,10
A0965SEG,10,10,10
A0965S,10,10,10
A0966S,7,7,7
A0967SEG,10,10,10
A0968SEG,10,10,10
A0969SEG,4,4,4
A0969S,2,2,2
A01033SEG,10,10,10
A01033S,0,0,0
A01034SEG,9,9,9
A01035S,10,10,10
A01036S,0,0,0
A01037S,3,3,3
A01038S,10,10,10
A01039S,9,9,9
A0104,10,10,10
A01040S,9,9,9
A01041S,9,9,9
A01042S,9,9,9
A01043S,0,0,0
A01044S,10,10,10
A01045S,10,10,10
A01046S,5,5,5
A01047S,8,8,8
A01048S,9,9,9
A01049S,6,6,6
A0105,3,3,3
A01050S,9,9,9
A01051S,9,9,9
A01052S,9,9,9
A01053SEG,6,6,6
A01054SEG,10,10,10
A01055S,0,0,0
A01056S,9,9,9
A01057SEG,10,10,10
A01058S,1,1,1
A01059S,9,9,9
A0106,10,10,10
A01060S,9,9,9
A01061S,9,9,9
A01062S,10,10,10
A01063S,10,10,10
A01064S,10,10,10
A01065S,5,5,5
A01066S,10,10,10
A01067S,10,10,10
A01068S,5,5,5
A01069S,4,4,4
A0107,10,10,10
A01070S,8,8,8
A01071S,10,10,10
A01072S,0,0,0
A01073S,6,6,6
A01074S,10,10,10
A01075S,4,4,4
A01076S,6,6,6
A01077S,4,4,4
A0036,10,10,10
A0036SEG,5,5,5
A0036PR,10,10,10
A0037,0,0,0
A0037PR,0,0,0
A0038,10,10,10
A0039,7,7,7
A0039PR,0,0,0
A0040,10,10,10
