ID_Product,Quantity,Quantity_Fourniss_After_Cumule,(2) Main Warehouse
0160140015,1,1,1
0160140016,0,0,0
0160140017,1,1,1
0160150001,10,10,10
0160150002,2,2,2
0160150003,0,0,0
0160150006,10,10,10
0160150007,10,10,10
0160150010B,10,10,10
0160150011B,10,10,10
0160150013A,10,10,10
0160150015,0,0,0
0160150016,0,0,0
0160160001,10,10,10
0160160003,0,0,0
0160160007,10,10,10
0160160008,10,10,10
0160160014,10,10,10
0160160016,10,10,10
0160160018,10,10,10
0160160019,3,3,3
0160160021,10,10,10
0160160022,10,10,10
0160160024,10,10,10
0160160025,0,0,0
0160160026,10,10,10
0160160031,10,10,10
0160160032,10,10,10
0160160034,10,10,10
0160160037,10,10,10
0160160039,0,0,0
0160170001,6,6,6
0160170003,7,7,7
0160170005,10,10,10
0160170008,10,10,10
0160170012,7,7,7
0160170015,10,10,10
0160170016,10,10,10
0160170019,10,10,10
0160170020,10,10,10
0160170021,0,0,0
0160170022,0,0,0
0160170023,10,10,10
0160170024,10,10,10
0160170025,3,3,3
0160170026,5,5,5
0160170028,10,10,10
0160170033,10,10,10
0160170034,9,9,9
0160170035,5,5,5
0160170036,10,10,10
0160170037,0,0,0
0160170038,10,10,10
0160170039,10,10,10
0160170043,4,4,4
0160170045,10,10,10
0160170046,0,0,0
0160170051,10,10,10
0160170053,10,10,10
0160170054,10,10,10
0160170055,3,3,3
0160170056,2,2,2
0160170057,0,0,0
0160170058,8,8,8
0160170059,6,6,6
0160170060,10,10,10
0160170061,0,0,0
0160170062,4,4,4
0160170065,6,6,6
0160170066,1,1,1
0160170067,10,10,10
0160170068,0,0,0
0160170069,1,1,1
0160170073,5,5,5
0160170074,0,0,0
0160170075,10,10,10
0160170076,0,0,0
0160170077,10,10,10
0160180001,0,0,0
0160180002,0,0,0
0160180003,10,10,10
0160180005,10,10,10
0160180006,10,10,10
0160180011,10,10,10
0160180012,7,7,7
0160180013,10,10,10
0160180014,5,5,5
0160180015,6,6,6
0160180016,10,10,10
0160180017,5,5,5
0160180018,9,9,9
0160180019,8,8,8
0160180020,0,0,0
0160180021,0,0,0
0160180022,0,0,0
0160180023,0,0,0
0160220001,10,10,10
0160220002,0,0,0
0160220004,10,10,10
0160220005,10,10,10
0160220006,0,0,0
0160220007,10,10,10
0160220008,10,10,10
0160220009,10,10,10
0160220010,0,0,0
0160250001,10,10,10
0160250002,8,8,8
0160250003,10,10,10
0160250005,10,10,10
0160250006,5,5,5
0160250007,10,10,10
0160250011,0,0,0
0160250015,8,8,8
0160250018,10,10,10
0160250019,10,10,10
0160250021,10,10,10
0160250022,10,10,10
0160250025,7,7,7
0160250026,10,10,10
0160250027,0,0,0
0160250028,0,0,0
0160250029,0,0,0
016026001,10,10,10
016026002,7,7,7
016026003,10,10,10
016027001,10,10,10
016027003,10,10,10
016028001,10,10,10
016028003,0,0,0
